ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A39R_scaffold136|length_963	6	3	3	0	3	2	5	1	0	3	33	3	4	1	0	0	26	0	6	2	0	242	0	0	0	241	0	699	533	19	2	1450	19	12	60	6	33	3	1351	0	15	10	3	5	0	2	0	1	1	0	465	5	0	10	2	10	3	3	48	3
A26R_scaffold2162|length_560	0	1	2	2	0	0	18	0	17	7	0	2	0	1	28	1	0	10	0	849	8	0	5	1	669	11	1	7	162	307	770	0	0	79	524	9	3	1	2	27	294	452	72	2	14	7	0	485	0	34	84	1	0	301	1	1	0	13	0	0
A39R_scaffold231|length_724	2	2	0	0	0	0	3	4	1	0	563	3	0	3	0	0	7	0	0	1	0	82	2	1	0	3	0	1244	856	0	2	912	98	622	60	1	10	5	258	1	5	16	0	1	0	0	3	0	0	0	131	2	0	3	3	2	5	2	126	0
A40R_scaffold575|length_663	6	4	0	1	8	0	0	1	0	4	550	3	6	0	0	1	19	1	2	5	0	392	0	1	1	641	0	206	145	21	0	145	544	316	24	0	15	1	387	0	12	0	0	38	0	5	8	2	1	2	310	17	0	5	9	5	13	8	1013	3
A12R_scaffold352|length_1130	81	142	481	46	144	306	105	84	35	173	0	230	17	1	24	15	420	8	40	1	106	3	453	30	50	29	1	4	0	213	29	0	275	0	1	6	2	0	0	0	144	1	1	6	4	9	1	6	0	18	0	4	772	24	18	35	114	77	4	94
A57R_scaffold12|length_1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4870	0	1	0	0	0	0	0	0
A45R_scaffold56|length_1125	8	2	0	0	2	1	2	2	0	6	577	6	0	0	2	1	9	0	7	0	1	778	0	0	0	529	2	13	15	5	0	20	143	346	20	4	4	1	1479	2	7	7	0	55	0	3	1	1	1	3	210	2	0	5	37	3	24	1	485	4
A45R_scaffold269|length_601	17	12	5	6	5	3	2	15	1	21	398	20	2	6	7	11	9	0	36	1	2	249	4	0	0	463	17	32	28	17	3	39	170	222	16	1	7	15	1652	0	26	6	2	56	6	3	3	1	5	87	181	7	0	6	16	8	34	8	793	17
A40R_scaffold551|length_707	2	2	0	0	2	0	0	1	0	1	1164	1	0	0	2	1	19	0	3	0	0	135	0	0	6	17	5	183	199	2	0	157	93	960	57	1	17	6	988	1	10	4	0	4	0	0	0	0	2	2	309	4	0	2	5	5	10	0	291	2
A36R_scaffold999|length_604	2	2	0	0	0	0	0	2	0	2	48	2	2	1	0	0	1	0	0	0	0	18	1	0	0	26	0	2068	1558	1	2	587	12	33	30	1	16	2	85	0	1	4	4	4	0	0	0	0	0	0	42	4	0	1	0	2	2	3	83	0
A36R_scaffold573|length_796	6	3	1	0	1	1	5	4	0	2	264	3	5	2	1	0	19	0	2	3	0	484	0	0	4	134	0	552	713	1	1	774	393	131	40	4	21	11	449	2	11	7	7	32	0	6	1	1	3	2	342	7	0	9	4	10	4	5	108	1
