ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A46R_scaffold169|length_1075	4	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	0	0	2	2	0	0	0	0	0	4	0	0	1	0	0	44	1	0	0	669	4	1	0	0	0	1	1	0	1	0	0	0	0	0	0	3	2	1	0	0
A39R_scaffold104|length_1183	1	4	0	0	0	8	0	0	1	6	32	3	0	0	0	1	3	0	1	0	0	25	0	0	1	3	1	81	135	0	0	140	52	67	14	1	5	4	69	0	2	0	0	0	0	0	0	0	0	3	49	5	0	1	11	3	2	4	8	0
A36R_scaffold1012|length_601	5	26	1	0	0	1	1	4	1	4	4	4	1	1	1	1	2	0	20	0	2	16	0	0	0	14	2	135	217	1	0	87	16	5	3	1	5	2	66	0	2	1	0	1	6	1	2	0	3	1	39	1	0	7	0	2	9	2	5	2
A39R_scaffold319|length_633	0	0	0	0	0	0	0	0	0	2	61	0	0	0	0	0	3	0	0	0	0	1	0	0	0	12	0	90	98	0	0	232	0	76	7	1	13	0	76	1	1	1	0	0	0	1	0	0	0	0	27	0	0	1	1	0	0	0	27	0
A39R_scaffold187|length_816	0	0	0	0	0	0	0	1	0	0	46	0	0	0	0	0	3	0	0	0	0	15	0	1	0	41	0	166	153	0	0	137	21	46	2	0	7	0	23	1	4	1	0	2	0	0	0	0	0	0	14	0	0	0	1	2	0	1	32	0
A46R_scaffold234|length_942	0	0	1	5	0	1	1	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	26	1	0	0	623	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
A58R_scaffold571|length_600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	11	0	10	0	0	0	0
A37R_scaffold563|length_1036	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	2	5	4	2	78	0	0	2	0	3	0	7	0	16	49	60	0	0	5	15	0	0	0	0	5	69	5	39	17	5	3	0	159	2	4	69	2	0	35	2	0	1	1	2	0
A37R_scaffold60|length_2174	0	0	0	9	0	0	14	0	2	0	0	0	0	36	0	1	1	9	0	49	15	0	0	0	21	3	0	0	9	146	113	0	0	1	5	0	0	2	0	3	138	0	11	1	20	0	0	5	0	0	37	2	0	19	1	2	0	0	0	0
A36R_scaffold121|length_1517	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	253	250	0	0	135	1	1	8	0	1	1	5	0	0	0	0	1	0	0	0	0	0	0	8	2	0	0	0	0	0	0	1	0
A36R_scaffold474|length_861	2	35	4	0	0	0	1	2	0	2	54	0	0	2	1	0	4	1	3	0	0	11	0	0	0	1	1	80	101	0	0	135	5	52	4	0	1	1	56	0	1	1	1	0	0	1	2	0	1	2	50	1	1	0	1	0	20	3	16	1
A36R_scaffold1484|length_500	0	24	4	0	0	1	0	0	2	2	11	2	1	0	1	1	2	0	10	0	1	2	1	0	0	1	0	101	85	0	0	219	0	46	5	0	7	2	41	0	1	0	1	0	0	1	2	0	1	2	43	3	0	4	0	0	5	0	9	0
A36R_scaffold1463|length_503	2	23	1	0	1	0	1	1	3	5	25	0	0	0	0	1	2	0	8	0	0	9	2	0	0	1	0	89	167	0	1	118	2	50	8	1	2	0	74	0	2	3	0	1	0	1	3	0	3	0	13	0	0	3	0	0	4	8	5	0
A4R_scaffold2|length_3262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	107	0	64	1	0	0
NC_033828.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0
A39R_scaffold223|length_745	0	17	0	0	0	0	0	2	0	5	57	3	2	0	0	0	1	0	18	0	0	4	3	0	0	0	0	2	12	0	0	370	3	62	11	0	2	2	3	1	1	4	0	0	0	6	3	0	1	0	17	0	0	0	0	0	5	2	10	1
A58R_scaffold408|length_712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	493	4	0	9	0	0	0	0
A45R_scaffold332|length_515	0	0	0	0	0	1	0	3	0	0	46	0	0	0	0	0	2	0	4	0	0	4	0	0	0	0	0	19	48	0	0	73	0	38	4	0	1	0	296	1	1	1	0	5	0	0	0	0	0	2	47	2	0	0	1	2	2	1	11	3
NC_019026.1	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26R_scaffold994|length_817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A40R_scaffold522|length_735	0	0	1	0	1	0	0	0	0	0	177	0	0	0	1	0	0	0	0	0	0	10	0	0	0	40	0	0	4	0	0	2	9	142	11	0	1	0	0	0	0	4	0	3	0	0	0	0	0	0	4	1	0	0	2	0	2	0	190	1
A39R_scaffold300|length_652	0	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0	1	0	15	0	0	0	4	0	103	115	0	0	228	12	11	12	0	2	0	21	0	1	0	0	0	0	0	0	0	0	0	39	0	0	6	0	1	0	0	6	0
A39R_scaffold502|length_503	0	0	1	0	0	1	0	0	1	4	3	2	0	0	0	0	22	0	0	0	0	1	0	0	0	5	0	104	122	0	0	215	3	2	9	2	5	1	15	0	0	3	3	0	1	0	0	0	0	2	56	2	0	1	0	4	0	0	2	0
A40R_scaffold692|length_546	3	0	0	0	0	0	0	2	0	0	56	1	0	0	0	0	1	0	0	0	0	22	0	0	0	105	0	38	45	2	1	43	22	60	9	0	2	2	56	0	2	0	0	4	0	1	2	1	1	1	28	0	0	1	0	0	0	0	53	1
A46R_scaffold256|length_905	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	44	0	0	0	473	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A53R_scaffold89|length_1186	5	3	5	8	2	3	4	8	2	6	0	9	13	8	79	8	4	1	0	0	4	0	1	4	15	3	3	0	0	0	0	0	3	0	5	0	16	7	0	0	3	12	0	0	11	41	9	116	82	9	0	1	0	12	0	7	4	0	0	2
A56R_scaffold38|length_2229	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0	186	2	0	1	0	10	0	0	1	41	0	4	0	0	48	95	0	1	0	0	0	0	1	0	0	0	0	0	26	0	8	25	0	0	50	0	0	0	0	0	0
A40R_scaffold224|length_1441	2	0	1	0	0	0	0	0	0	0	124	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	25	21	1	0	50	0	109	9	0	2	3	116	0	1	1	1	1	0	0	0	0	0	0	33	0	0	0	0	2	1	1	25	0
A40R_scaffold227|length_1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	465	28	18	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A56R_scaffold54|length_2135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	406	41	13	13	2	0	2	1	2	0	0	0	1	0	0	4	0	5	0	0	0	0	0	0	0	0	7
A45R_scaffold330|length_518	1	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	1	0	0	0	0	63	1	0	0	81	0	2	2	2	0	12	43	45	3	0	0	1	71	0	1	0	7	5	0	0	0	0	0	1	25	2	0	0	3	0	5	3	56	0
NC_015116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0
A56R_scaffold62|length_2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	209	14	104	2	1	0	0	0	0	0	0	0	0	0	0	0	0	140	2	0	4	0	2	0	3	0	0
A39R_scaffold195|length_789	0	0	0	0	0	1	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	7	0	0	0	5	0	125	130	0	0	143	1	7	4	0	1	0	17	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	9	0
A28R_scaffold1426|length_515	0	0	0	26	0	0	3	0	0	0	0	0	0	218	2	0	0	202	0	1	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A49R_scaffold100|length_994	15	6	2	1	15	6	3	15	1	11	0	11	9	5	4	8	4	3	5	0	7	0	4	0	4	0	2	0	0	0	0	0	28	0	2	1	3	4	0	0	3	7	146	5	3	20	6	0	17	45	0	2	0	8	1	7	4	7	1	4
A40R_scaffold580|length_657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	7	73	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A15R_scaffold341|length_1373	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A39R_scaffold316|length_637	1	1	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	3	0	0	5	0	1	0	4	0	22	14	0	0	348	3	6	4	3	9	0	3	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	1	0	3	2	0
A46R_scaffold745|length_546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	20	0	0	0	408	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26R_scaffold94|length_1738	1	10	1	22	0	0	0	4	2	4	0	7	0	130	5	0	2	141	1	1	25	0	12	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	1	0	8	1	4	0	0	2	5	0	0	0	1	3	16	18	2	0	1
A4R_scaffold53|length_1176	0	0	0	0	0	63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	24	0	51	1	0	0
A46R_scaffold288|length_869	3	1	0	1	0	1	1	1	1	2	1	5	0	1	0	2	1	0	4	0	1	0	1	0	0	0	1	0	0	3	0	0	3	0	0	23	1	1	0	319	2	1	0	9	4	3	2	0	5	3	0	1	0	1	3	3	12	4	1	0
A4R_scaffold878|length_584	5	22	0	0	0	0	4	1	0	4	0	2	2	0	0	1	1	3	50	7	1	0	0	0	8	4	1	0	5	7	0	0	15	2	2	1	0	2	0	0	5	26	13	124	4	0	0	31	6	15	5	0	0	23	4	2	16	1	1	1
A3R_scaffold83|length_1051	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	44	0	6	0	4	0
A40R_scaffold16|length_2798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	20	7	3	2	0	0	1	1	0	0	0	0	0	0	12	0	6	0	0	1	0	1	0	0	0	0
A42R_scaffold54|length_1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	3	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	9	0	0	0	0	0	0
A45R_scaffold300|length_552	0	0	0	0	0	0	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	37	0	0	0	14	0	31	46	1	0	51	2	46	4	1	0	0	53	0	1	0	0	3	0	0	0	0	0	0	22	0	0	0	0	0	1	2	26	0
A58R_scaffold781|length_505	16	76	1	0	1	3	4	3	1	3	0	6	1	0	1	0	2	0	66	0	1	0	1	4	9	0	3	1	0	1	0	0	2	0	1	0	2	13	0	0	2	5	1	4	1	1	9	0	8	3	0	3	3	10	6	5	85	4	1	3
A45R_scaffold184|length_762	0	1	0	0	0	0	0	0	0	3	71	0	0	1	0	0	1	0	4	0	0	12	0	0	0	1	0	0	3	2	0	1	2	86	0	0	3	0	145	1	0	1	0	3	0	0	1	0	0	2	17	0	0	0	3	1	0	0	8	0
A45R_scaffold274|length_592	2	0	0	0	1	0	0	0	0	0	62	0	0	0	0	0	2	0	0	0	0	8	0	0	0	7	0	19	21	0	0	14	0	42	1	0	0	1	69	0	0	0	0	3	0	0	0	0	0	0	32	0	0	0	0	1	2	0	75	0
A12R_scaffold1574|length_583	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	249	8	0	4	0	0	0	0
A49R_scaffold61|length_1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A40R_scaffold45|length_2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	11	226	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A36R_scaffold5|length_3755	0	0	0	0	0	0	75	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold859|length_507	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	26	0	1	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A45R_scaffold113|length_873	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	0	0	7	0	38	0	1	1	0	226	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	3	0
A46R_scaffold700|length_565	2	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	2	1	0	0	7	0	0	1	0	0	35	0	0	0	246	2	0	0	3	1	0	2	0	1	2	0	0	0	0	1	0	4	0	1	1
A39R_scaffold167|length_860	0	2	0	0	0	0	0	0	0	5	9	1	1	0	0	0	1	0	2	0	0	3	0	0	1	1	0	38	44	0	0	33	98	18	4	1	0	0	27	0	1	0	0	0	1	0	0	0	0	2	12	0	0	0	1	0	0	1	2	2
A45R_scaffold155|length_799	0	0	0	0	0	0	1	0	0	0	36	0	0	0	0	0	1	0	0	0	0	23	0	0	0	33	0	2	8	0	0	4	2	27	0	0	0	0	117	0	2	0	0	1	0	0	0	0	0	0	7	1	0	0	1	1	0	0	37	1
A42R_scaffold293|length_1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	270	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
A26R_scaffold1132|length_784	26	9	2	0	8	1	3	22	1	10	0	5	5	1	11	2	5	74	13	0	1	0	7	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0	0	0	2	2	0	4	1	18	11	0	2	12	0	1	0	5	1	5	11	4	0	4
A40R_scaffold9|length_2911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	152	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A42R_scaffold427|length_959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A56R_scaffold368|length_801	2	0	0	0	0	0	3	1	0	5	0	1	0	5	0	0	1	4	3	12	0	0	0	0	0	0	0	0	2	77	59	0	1	0	4	0	0	0	0	0	54	0	7	0	1	1	0	10	2	1	9	0	0	9	0	0	2	2	1	0
A45R_scaffold324|length_525	0	0	0	0	0	0	0	0	0	1	23	1	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	13	37	0	0	96	1	44	2	0	4	0	34	0	1	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	6	0
A36R_scaffold782|length_688	0	45	0	0	0	0	0	2	2	4	0	4	0	2	4	1	0	0	17	0	0	0	1	0	0	0	1	0	146	0	0	0	0	0	4	1	0	2	0	0	0	0	0	1	0	5	2	0	5	1	0	0	0	2	2	3	15	2	1	0
A40R_scaffold53|length_2347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	209	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A36R_scaffold1019|length_599	1	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	20	0	0	0	9	0	26	26	0	0	86	0	19	2	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	27	0	0	2	0	0	0	1	12	1
A56R_scaffold327|length_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	20	2	0	0	0	3	0	0	0	8	8	8	0	0	3	0	0	0	0	0	0	2	25	39	28	15	0	0	85	0	1	6	2	0	2	1	1	1	2	1	0
A49R_scaffold493|length_642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold352|length_796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001479.1	13	16	2	0	1	4	1	16	3	5	1	4	3	2	7	1	2	1	4	0	0	1	6	0	0	0	0	0	0	0	0	0	29	0	2	0	2	4	0	0	2	12	1	1	1	15	4	1	25	34	0	3	0	0	3	13	6	3	0	1
A1R_scaffold173|length_1312	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
A42R_scaffold395|length_997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A42R_scaffold483|length_918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A40R_scaffold540|length_716	0	0	0	0	0	0	0	0	0	0	41	0	1	0	0	0	0	0	0	0	0	4	0	0	0	15	0	7	15	0	0	7	2	67	2	1	0	0	59	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	7	0
A40R_scaffold610|length_619	2	0	0	0	2	0	0	0	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	2	0	0	16	0	101	6	0	1	1	26	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	36	0
A49R_scaffold789|length_556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold433|length_724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5R_scaffold509|length_1044	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	43	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	60	0	1	0	0	0	0	0	0	0	1	18	0	21	1	0	0
A36R_scaffold25|length_2245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	7	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A38R_scaffold1437|length_655	12	6	6	4	2	0	1	3	0	0	0	2	5	1	2	0	2	0	0	0	4	0	10	0	5	5	1	0	0	1	17	0	5	1	1	1	1	0	0	0	0	6	0	0	58	1	2	0	0	29	6	1	0	0	0	3	4	2	0	1
A39R_scaffold385|length_575	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	22	0	0	0	12	0	35	28	0	0	16	23	14	2	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	2	2	0	5	0
A36R_scaffold1307|length_529	4	17	1	0	3	2	0	0	1	7	0	2	1	0	1	0	1	0	3	0	0	1	0	1	1	1	0	72	32	0	0	7	5	2	0	0	1	0	5	0	0	1	0	0	0	1	2	0	10	3	3	0	0	6	1	3	5	0	0	1
A15R_scaffold897|length_921	3	2	11	2	6	107	5	7	0	1	0	6	0	0	0	6	2	1	0	0	3	0	3	0	3	1	1	1	0	0	1	0	11	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	4	3	5	1	0
A20R_scaffold164|length_1149	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A56R_scaffold641|length_574	4	6	0	0	0	0	3	3	0	12	6	0	2	0	0	1	0	0	8	0	1	1	2	0	0	4	0	7	13	1	0	19	5	8	1	0	4	1	9	1	0	0	0	0	0	1	8	0	37	0	15	0	0	0	6	2	6	1	3	1
A40R_scaffold135|length_1793	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	161	22	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A40R_scaffold365|length_1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	6	7	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
NC_032480.1	0	0	0	0	0	0	0	0	0	0	0	189	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold401|length_751	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	13	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A57R_scaffold398|length_570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0
A37R_scaffold2830|length_508	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0	12	0	10	4	0	0	0	3	2	0	0	5	10	28	0	0	0	1	0	0	0	0	2	9	0	4	0	6	0	0	4	0	10	3	0	0	10	0	0	0	0	0	0
NC_034161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0
A40R_scaffold20|length_2657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	7	15	5	0	0	3	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A38R_scaffold1854|length_572	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	2	0	0	11	0	0	0	0	9	0	1	0	4	14	16	0	0	0	7	0	0	0	0	0	0	20	3	0	5	0	0	44	0	1	3	0	1	18	0	3	0	0	0	0
NC_005947.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0
A58R_scaffold730|length_518	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	1	0	2	0	0	0	0
A45R_scaffold326|length_524	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	0	0	0	14	0	11	13	0	0	13	7	12	0	0	1	0	19	1	0	0	0	0	0	0	0	0	0	1	18	2	0	2	0	0	0	2	16	0
A40R_scaffold21|length_2653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	28	14	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A57R_scaffold283|length_646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0
