name	Isloated	Phylum
AF05_2	gut	Actinobacteria
AF08_2	gut	Actinobacteria
AF11_12	gut	Actinobacteria
AF11_41	gut	Actinobacteria
AF13_34	gut	Actinobacteria
AF13_41	gut	Actinobacteria
AF14_22	gut	Actinobacteria
AF14_34	gut	Actinobacteria
AF26_10	gut	Actinobacteria
AF27_1BH	gut	Actinobacteria
AF30_11	gut	Actinobacteria
AF30_12	gut	Actinobacteria
AF34_9AC	gut	Actinobacteria
AF35_13AC	gut	Actinobacteria
AF36_1	gut	Actinobacteria
AM10_15B	gut	Actinobacteria
AM11_2	gut	Actinobacteria
AM11_5	gut	Actinobacteria
AM12_16	gut	Actinobacteria
AM16_2	gut	Actinobacteria
AM20_19AC	gut	Actinobacteria
AM20_3	gut	Actinobacteria
AM20_39	gut	Actinobacteria
AM21_20	gut	Actinobacteria
AM30_9LB	gut	Actinobacteria
AM31_13LB	gut	Actinobacteria
AM34_3	gut	Actinobacteria
AM39_10AC	gut	Actinobacteria
AM39_8AC	gut	Actinobacteria
AM42_13AT	gut	Actinobacteria
OF01_16	gut	Actinobacteria
OM05_2BH	gut	Actinobacteria
TF01_22	gut	Actinobacteria
TF06_12AC	gut	Actinobacteria
TF06_45A	gut	Actinobacteria
TF07_31	gut	Actinobacteria
TF07_34	gut	Actinobacteria
TF07_39	gut	Actinobacteria
TF08_4AC	gut	Actinobacteria
TM01_1	gut	Actinobacteria
TM02_7	gut	Actinobacteria
TM04_17	gut	Actinobacteria
TM04_48B	gut	Actinobacteria
TM05_14	gut	Actinobacteria
TM06_1	gut	Actinobacteria
AF02_36_1	gut	Actinobacteria
AF03_28	gut	Actinobacteria
AF11_18	gut	Actinobacteria
AF12_10_6.0	gut	Actinobacteria
AF12_8A_LB	gut	Actinobacteria
AF12_8LB_d	gut	Actinobacteria
AF17_20AC	gut	Actinobacteria
AF18_2AC	gut	Actinobacteria
AF20_20AC	gut	Actinobacteria
AF26_1	gut	Actinobacteria
AF36_12AT	gut	Actinobacteria
AF41_3MH	gut	Actinobacteria
AF45_10BH	gut	Actinobacteria
AM08_2	gut	Actinobacteria
AM08_25	gut	Actinobacteria
AM10_2	gut	Actinobacteria
AM10_24	gut	Actinobacteria
AM11_10	gut	Actinobacteria
AM13_2	gut	Actinobacteria
AM13_8	gut	Actinobacteria
AM18_42	gut	Actinobacteria
AM19_19	gut	Actinobacteria
AM20_1	gut	Actinobacteria
AM20_6	gut	Actinobacteria
AM20_9_6.0	gut	Actinobacteria
AM26_14LB	gut	Actinobacteria
AM33_6	gut	Actinobacteria
AM36_2AC	gut	Actinobacteria
AM36_5BH	gut	Actinobacteria
AM38_8	gut	Actinobacteria
AM43_10	gut	Actinobacteria
CF01_1	gut	Actinobacteria
OF01_12	gut	Actinobacteria
OF01_2	gut	Actinobacteria
OF01_21AC	gut	Actinobacteria
OF01_8	gut	Actinobacteria
OF05_12	gut	Actinobacteria
OM05_2	gut	Actinobacteria
OM10_8	gut	Actinobacteria
TF05_19AC	gut	Actinobacteria
TF05_2AC	gut	Actinobacteria
TF07_23	gut	Actinobacteria
TF07_45	gut	Actinobacteria
TF08_3AT	gut	Actinobacteria
TM01_4	gut	Actinobacteria
TM04_13	gut	Actinobacteria
TM05_11	gut	Actinobacteria
TM07_3AT	gut	Actinobacteria
TM08_2	gut	Actinobacteria
TM10_1	gut	Actinobacteria
AF13_3LB	gut	Actinobacteria
AF28_4AC	gut	Actinobacteria
AM12_59	gut	Actinobacteria
AM14_37	gut	Actinobacteria
AM34_11	gut	Actinobacteria
OF04_5	gut	Actinobacteria
OF04_9AC	gut	Actinobacteria
TM06_4	gut	Actinobacteria
TM06_51	gut	Actinobacteria
AF19_10LB	gut	Firmicutes
OM07_19	gut	Firmicutes
AF14_40	gut	Firmicutes
AF17_9LB	gut	Firmicutes
AF19_1	gut	Firmicutes
AF19_13LB	gut	Firmicutes
AF26_2	gut	Firmicutes
AF32_4BH	gut	Firmicutes
AF34_10	gut	Firmicutes
AM23_13AC	gut	Firmicutes
AM28_10	gut	Firmicutes
AM28_27	gut	Firmicutes
AM28_36	gut	Firmicutes
AM29_29	gut	Firmicutes
AM42_2	gut	Firmicutes
AM47_4	gut	Firmicutes
OF03_13	gut	Firmicutes
OF09_25XD	gut	Firmicutes
OF11_22	gut	Firmicutes
OM05_6	gut	Firmicutes
OM06_15AC	gut	Firmicutes
TF10_30	gut	Firmicutes
TF12_12AT	gut	Firmicutes
TF12_31AT	gut	Firmicutes
TM10_2	gut	Firmicutes
AF19_34	gut	Firmicutes
AF22_5LB	gut	Firmicutes
AF25_12LB	gut	Firmicutes
AM16_16B	gut	Firmicutes
AM22_22LB	gut	Firmicutes
AM46_3MH	gut	Firmicutes
AM46_5	gut	Firmicutes
TF11_31AT	gut	Firmicutes
TF07_50	gut	Proteobacteria
AF02_42	gut	Firmicutes
AF28_12	gut	Firmicutes
AF36_10	gut	Firmicutes
AM25_23AC	gut	Firmicutes
AM34_11AC	gut	Firmicutes
OF05_3	gut	Firmicutes
OF11_28	gut	Firmicutes
TF01_6	gut	Firmicutes
AF14_49	gut	Bacteroidetes
AF34_33	gut	Bacteroidetes
AM16_14	gut	Bacteroidetes
OF02_7	gut	Bacteroidetes
TF05_17	gut	Bacteroidetes
AM22_15	gut	Firmicutes
AM22_6LB	gut	Firmicutes
AM17_37	gut	Proteobacteria
TF09_2AC	gut	Firmicutes
AF19_13AC	gut	Firmicutes
AF31_1	gut	Firmicutes
AM21_16	gut	Firmicutes
TF05_12AC	gut	Firmicutes
AF07_16	gut	Firmicutes
AF14_9AC	gut	Firmicutes
AF37_1	gut	Firmicutes
AF37_2AT	gut	Firmicutes
AM14_42	gut	Firmicutes
AM38_2BH	gut	Firmicutes
AF19_21	gut	Firmicutes
AF26_4BH	gut	Firmicutes
TF05_5AC	gut	Firmicutes
AF04_15	gut	Firmicutes
AF14_18	gut	Firmicutes
AF24_13	gut	Firmicutes
AF27_9	gut	Firmicutes
AM35_14	gut	Firmicutes
OF13_16	gut	Firmicutes
TF09_4AC	gut	Firmicutes
AF25_25	gut	Firmicutes
AF29_4	gut	Firmicutes
AM07_19	gut	Firmicutes
AF33_11	gut	Firmicutes
AM35_8	gut	Firmicutes
AM39_16AC	gut	Firmicutes
AM58_2	gut	Firmicutes
OM02_1	gut	Firmicutes
TF05_11AC	gut	Firmicutes
