group	Birdfece03	Birdfece05	Birdfece06	Birdfece18	Birdfece20	Birdfece22	Birdfece23	Birdfece28	Cattlefece01	Cattlefece03	Cattlefece05	Cattlefece10	Cattlefece11	Cattlefece12	Sheepfece02	Sheepfece04	Sheepfece09	Sheepfece11	Sheepfece15	Sheepfece16	Soil01	Soil02	Soil03	Soil06	Soil08	Soil12	Soil13	Water01	Water02
Cattlefece10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0271957330758105	2.566568693993383	0.29220517298455595	1.8437219573480639	0.0686565989235958	0.42946420604991953	0.0742281472086243	0.2648753355304553	0.1393671822250664	0.0600589728519728	0.7486851678202471	0.533516629554191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cattlefece11	322.91788452993245	0.0	0.1287563790972113	0.0	6.381674368034793	96.82038013649235	2.4519885588887687	0.2337470239319314	0.1352426346811002	3.4350351105326227	0.740549880831259	0.0736340982913254	170.11809535993757	1.9050240692133575	0.051629911168366405	0.5188845108228606	1.3595043101958393	0.8479218103868654	2.5033010676002445	2.9527114915573422	0.0133040810999621	0.0357188986860236	0.029728310650217298	0.1099519605949557	0.22919496644431397	0.0	0.0	0.0910459072857812	0.02028920223319268
Cattlefece12	0.0	0.0	0.0	0.0	0.0	0.0	0.0607410238036302	0.0	0.17342437587891152	3.9761462602284	2.0426942701540693	0.6627719746333617	0.7222462167991685	4.494687046033178	0.0120182177259243	0.1277199390768065	0.3572766072980048	0.6098475025673917	0.0693384558833524	0.0524539186268423	0.0	0.0	0.0669239809140901	0.0968617523731067	0.301858687381456	0.0	0.0	0.0	0.0
Sheepfece02	0.0	0.0	0.0	0.0	0.0927366718924709	0.0	0.0	0.0	0.315480229301222	0.11395596514078571	0.0459864932621811	0.0	0.0	0.1503577318046368	0.9591118524704692	0.058399579860341	0.0685643564785472	0.0326331991218812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sheepfece04	0.0	0.0	0.0	0.0678453468905292	0.0	0.0	0.0	0.0	0.0351425381953656	0.0	0.0	0.0	0.0	0.0	0.0	0.634029124554183	0.0	0.0	0.0	0.0	0.0355063463122364	0.0	0.0365039895895037	0.0	0.0	0.0	0.0	0.0	0.0
Sheepfece09	11.726827353265831	0.0	0.0	0.0	0.6571540911241424	3.769918120675193	0.237345308323595	0.0514132737920569	0.8203805565196616	2.5235730059539363	2.7465170754634975	0.3239016744696277	3.0739615534354043	1.0165019641562099	1.331127139754801	1.6920992511992095	2.5106793949049755	0.2858927992170062	0.1599936906373555	0.2556615153843384	0.0	0.0	0.0	0.29058525711932	0.0	0.0	0.0	0.0	0.0
Sheepfece11	0.0403433503128812	0.0	0.0	0.0	0.0315304684434401	0.0	0.0	0.0	0.0434694849966771	2.0915391742468312	1.0947141707852055	0.0360518459982178	0.22556920910238748	1.303217139686311	0.0557366619173301	0.0	0.0766302053725309	0.970695096922724	0.13328864730133197	0.0385773562908415	0.0	0.0	0.0	0.0	0.0	0.0	0.0302391522930224	0.0	0.0
Sheepfece15	53.396128809362224	0.0	0.0343360567243172	0.0	1.4380113496504343	16.85426058242053	0.8155427682345026	0.0	0.0	0.6798409314767505	0.11195074144638748	0.5471794196365011	5.752027421311569	0.08704715511636239	0.0	0.0238328503479896	0.0734421945419647	0.0848390397094403	1.4586405827316988	1.0845181719382595	0.0310680530232068	0.0	0.0	0.0	0.0629965956274343	0.0	0.0	0.0	0.0
Sheepfece16	109.32882936933227	0.0	0.1146078004359833	0.0620848929092579	2.920374880007803	33.57614539692398	1.3236903620457978	0.0384050960856329	0.6298711599770336	1.426607849871038	0.21835029524577587	0.775170844485044	21.78272311426064	0.3024913484767482	0.214650958453718	0.5193622623575571	1.4510442804788304	2.3619449403631516	1.9691187973923814	5.73685163201844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0342281419594762	0.0309769740925262
Soil01	0.0	0.201700435684398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.511286557743357	0.18650058207950693	0.12697579513792012	0.0683730016751342	0.156068580584263	0.021576432949995	0.0	0.0322147218442129	0.0
Soil02	0.0	0.030344313333051005	0.23044113400263644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0317165362251991	0.0	0.0	0.1954596649979457	0.35990436994623504	0.1626618066485055	0.290845301597204	0.500646604904314	0.259644490892636	0.0	0.0339252380483304	0.0690813935514743
Soil03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19298743525003798	0.24938821796911803	0.37477429311890503	0.191444404690376	0.28410229400607595	0.0402760081733239	0.0207523594167801	0.0	0.12245015641280901
Soil06	0.0	0.0	0.0	0.0	0.0	0.0620985817964266	0.0258997258858119	0.0	0.0274718318887629	0.0721404889575516	0.0	0.0	0.0	0.0	0.0390439560639165	0.155336953537151	0.15035432486666198	0.0	0.0	0.0	0.0	0.0	0.0	0.33041166291740004	0.0	0.0	0.0	0.0389193086239729	0.0792507357494071
Soil08	0.0	0.0	0.18039241741730802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10881546929521199	0.10546267924067199	0.11187292331907599	0.0809590766103579	0.396471111784599	0.25548214139795	0.0	0.0	0.0
Soil12	0.0	0.0	1.0360919925097818	0.0280042495675802	0.0	0.0	0.0	0.0	1.35874511507699	0.15118804600678398	0.0	0.0	0.0269602742114608	0.029727997618307002	0.818261632403357	0.0651093188230185	0.546180746075916	0.0240235891407891	0.0	0.0	0.500890620472136	0.34222760704775945	0.534683738486488	0.733163814914738	0.953797076149294	1.3748279122536822	0.0450370353300333	0.527747167757931	0.0885809642135217
Water01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Water02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0566629775345534	0.1539731625154354	0.0291275357346299	0.0421574466287097	0.0375368315914764	0.0266072074720145	0.07687547796153571	0.0	0.280732296516607
